"ID"	"Beta"	"HR"	"P-value"	"GP1"	"GP2"	"Hr-Inv-lst"	"Concordance"	"Std_Error"
"A2ML1"	"-0.92553256637255"	"0.396320295999049"	"0.01605509886266"	"20"	"138"	"2.523211680288"	"0.557811928283937"	"0.0381954717579903"
"AADACL2"	"1.32452659670524"	"3.76040474556379"	"0.00172330762976135"	"148"	"10"	"0.265928820874858"	"0.562019758507135"	"0.035213527915536"
"AARS1"	"-0.7793207284311"	"0.458717499256194"	"0.0161077885924827"	"74"	"84"	"2.17999095657238"	"0.633735821441639"	"0.0424970221188071"
"ABCA12"	"1.3690240201637"	"3.93151174621617"	"0.00480571761273054"	"150"	"8"	"0.254355083884065"	"0.553969996341017"	"0.0320203616985668"
"ABCA6"	"0.960108409986822"	"2.61197962275121"	"0.038305759805548"	"136"	"22"	"0.382851378812325"	"0.55543358946213"	"0.0365668880214044"
"ABCC11"	"-0.912451191798261"	"0.401538768221099"	"0.00718332454223837"	"76"	"82"	"2.4904195538334"	"0.650567142334431"	"0.0396961795501975"
"ABCC3"	"0.932346243363155"	"2.5404627344702"	"0.0280532612002587"	"140"	"18"	"0.393629076479465"	"0.567874130991584"	"0.0391105634759587"
"ABCC9"	"-0.979022198408688"	"0.375678258116297"	"0.00881882028253738"	"25"	"133"	"2.66185220569894"	"0.577753384559093"	"0.0414801175993505"
"ABHD10"	"-0.769786021720747"	"0.463112153651534"	"0.0179900767160428"	"42"	"116"	"2.1593041601591"	"0.596414196853275"	"0.0465628580875188"
"ABHD11"	"0.84515701640897"	"2.3283433739855"	"0.0128519511527046"	"74"	"84"	"0.429489915951815"	"0.63172338090011"	"0.0409070096735997"
"ABI1"	"-1.1160872943642"	"0.327558932226878"	"0.00126740424780542"	"40"	"118"	"3.05288576074417"	"0.656787413099158"	"0.0454825966396304"
"ABI3BP"	"-0.75034946283499"	"0.472201507026691"	"0.0495077519011586"	"20"	"138"	"2.11773995872376"	"0.589279180387852"	"0.043796245229191"
"ABLIM1"	"-1.81128607310565"	"0.163443800901398"	"9.07626243162039e-05"	"10"	"148"	"6.11831096979493"	"0.592572264910355"	"0.0385340302944317"
"AC004997.1"	"-0.626397564076103"	"0.534513888864126"	"0.0495136086128659"	"56"	"102"	"1.87085877623323"	"0.601719721917307"	"0.0468126738785082"
"AC005832.4"	"1.36881366353442"	"3.9306848136357"	"0.00271103177225611"	"147"	"11"	"0.25440859479014"	"0.556531284302964"	"0.0314004448446665"
"AC006030.1"	"-1.01705966395652"	"0.361656770777152"	"0.00325402371241014"	"45"	"113"	"2.76505261563646"	"0.602634467618002"	"0.0460218185398283"
"AC011455.2"	"1.04602940900512"	"2.84632705076465"	"0.0383166969423953"	"149"	"9"	"0.351329970929151"	"0.552140504939627"	"0.030822169235969"
"AC012309.1"	"-1.14386089522361"	"0.318586614710816"	"0.0198171541162092"	"123"	"35"	"3.13886382485878"	"0.58214416392243"	"0.0289872794277604"
"AC091057.5"	"0.799907546619053"	"2.22533517922045"	"0.0358044650942978"	"131"	"27"	"0.449370508019519"	"0.539699963410172"	"0.0377796006891031"
"AC093323.1"	"-0.913861358827819"	"0.400972930545648"	"0.0236021840658637"	"18"	"140"	"2.49393393873045"	"0.531101353823637"	"0.0288430471317882"
"AC097636.1"	"-0.717608017929191"	"0.487917952235647"	"0.0390813386007687"	"81"	"77"	"2.04952491585519"	"0.553055250640322"	"0.0480134851015315"
"AC098850.3"	"0.648948270327991"	"1.91352725693843"	"0.045718483056476"	"102"	"56"	"0.522595116622462"	"0.606293450420783"	"0.0463538440109438"
"AC144573.1"	"1.11977047280055"	"3.06415081661726"	"0.0356552935670765"	"151"	"7"	"0.326354693305851"	"0.545188437614343"	"0.0288710474149078"
"ACACB"	"0.932915398045429"	"2.54190906228375"	"0.00418518664484193"	"105"	"53"	"0.393405104390935"	"0.614343212586901"	"0.0460480522839066"
"ACE"	"0.89185816590375"	"2.43965873276834"	"0.0210810218898976"	"137"	"21"	"0.409893394747582"	"0.562202707647274"	"0.036913402648687"
"ACMSD"	"0.881706013402339"	"2.41501624406382"	"0.0103295178443777"	"126"	"32"	"0.414075889741126"	"0.625686059275521"	"0.0464152892792507"
"ACO2"	"-1.45841379398949"	"0.232604941618112"	"1.86681927736549e-05"	"56"	"102"	"4.29913480360099"	"0.707281375777534"	"0.0402652966961588"
"ACRV1"	"1.65103514889429"	"5.21237261727935"	"0.00212201926468208"	"152"	"6"	"0.191851211228632"	"0.569520673252836"	"0.036410961103987"
"ACSBG1"	"-0.765264900313943"	"0.465210680195216"	"0.0211908912856905"	"78"	"80"	"2.14956371934619"	"0.609586534943286"	"0.042971676889482"
"ACSL3"	"2.00402898336444"	"7.41888653584682"	"0.0084460208061064"	"154"	"4"	"0.134791116587128"	"0.527076472740578"	"0.0200628580252633"
